id,full_name,url,stars,forks,collaborators,commits,open_issue,closed_issue
350814742,tournesol-app/tournesol,https://api.github.com/repos/tournesol-app/tournesol,73,12,20,561,64,222
108300713,paninski-lab/yass,https://api.github.com/repos/paninski-lab/yass,49,14,8,1872,9,221
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21992,5219,394,2922,482,220
110274488,facebook/pyre-check,https://api.github.com/repos/facebook/pyre-check,5777,382,126,11014,74,218
171952729,openpifpaf/openpifpaf,https://api.github.com/repos/openpifpaf/openpifpaf,874,192,11,1701,11,216
313501668,wenet-e2e/wenet,https://api.github.com/repos/wenet-e2e/wenet,1797,461,66,780,42,216
235718232,aim-uofa/AdelaiDet,https://api.github.com/repos/aim-uofa/AdelaiDet,2662,547,24,403,232,215
277899703,facebookresearch/fairscale,https://api.github.com/repos/facebookresearch/fairscale,1628,156,51,594,57,214
226315888,torch-points3d/torch-points3d,https://api.github.com/repos/torch-points3d/torch-points3d,1705,276,25,1793,92,212
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,4025,381,69,3775,21,211
176995564,bespoke-silicon-group/bsg_replicant,https://api.github.com/repos/bespoke-silicon-group/bsg_replicant,20,11,12,985,35,211
132067444,PyTorchKorea/tutorials-kr,https://api.github.com/repos/PyTorchKorea/tutorials-kr,224,138,59,539,13,209
69576253,GoogleCloudPlatform/cloudml-samples,https://api.github.com/repos/GoogleCloudPlatform/cloudml-samples,1453,869,75,1198,0,207
91117406,zhanghang1989/PyTorch-Encoding,https://api.github.com/repos/zhanghang1989/PyTorch-Encoding,1871,431,10,117,139,204
305316768,RangiLyu/nanodet,https://api.github.com/repos/RangiLyu/nanodet,4077,759,16,344,125,203
221787282,NVIDIAGameWorks/kaolin,https://api.github.com/repos/NVIDIAGameWorks/kaolin,2865,407,25,221,87,203
104037669,sanghyun-son/EDSR-PyTorch,https://api.github.com/repos/sanghyun-son/EDSR-PyTorch,1829,601,2,104,109,201
288774122,Project-MONAI/tutorials,https://api.github.com/repos/Project-MONAI/tutorials,495,264,39,339,31,200
393571599,babysor/MockingBird,https://api.github.com/repos/babysor/MockingBird,19829,2752,2,113,157,200
201518876,asyml/forte,https://api.github.com/repos/asyml/forte,157,54,33,1019,72,196
91284550,studioml/studio,https://api.github.com/repos/studioml/studio,374,52,12,2409,57,195
170161374,microsoft/computervision-recipes,https://api.github.com/repos/microsoft/computervision-recipes,8306,1020,39,923,55,193
123195515,mravanelli/pytorch-kaldi,https://api.github.com/repos/mravanelli/pytorch-kaldi,2124,439,11,158,19,193
196905457,s3prl/s3prl,https://api.github.com/repos/s3prl/s3prl,1104,224,30,2231,25,192
120948040,BindsNET/bindsnet,https://api.github.com/repos/BindsNET/bindsnet,1011,276,35,1640,11,191
115712649,layumi/Person_reID_baseline_pytorch,https://api.github.com/repos/layumi/Person_reID_baseline_pytorch,3048,868,7,488,107,189
90339318,ruotianluo/self-critical.pytorch,https://api.github.com/repos/ruotianluo/self-critical.pytorch,832,271,6,395,70,189
223495162,snap-stanford/ogb,https://api.github.com/repos/snap-stanford/ogb,1241,273,14,583,2,188
69389961,microsoft/ELL,https://api.github.com/repos/microsoft/ELL,2164,300,20,3770,29,185
105057392,guildai/guildai,https://api.github.com/repos/guildai/guildai,662,59,15,4691,114,184
256463281,k2-fsa/k2,https://api.github.com/repos/k2-fsa/k2,571,133,24,751,42,184
142940093,pytorch/botorch,https://api.github.com/repos/pytorch/botorch,2196,247,57,1094,51,183
88188361,mratsim/Arraymancer,https://api.github.com/repos/mratsim/Arraymancer,919,84,28,881,144,179
312179734,hzwer/arXiv2020-RIFE,https://api.github.com/repos/hzwer/arXiv2020-RIFE,2280,247,17,531,27,179
81275248,amdegroot/ssd.pytorch,https://api.github.com/repos/amdegroot/ssd.pytorch,4552,1698,9,333,337,178
178459453,HorizonRobotics/alf,https://api.github.com/repos/HorizonRobotics/alf,145,33,16,882,43,177
140494324,Xilinx/brevitas,https://api.github.com/repos/Xilinx/brevitas,596,124,11,794,76,176
293185334,raisimTech/raisimLib,https://api.github.com/repos/raisimTech/raisimLib,151,41,7,623,9,176
111797719,mapillary/inplace_abn,https://api.github.com/repos/mapillary/inplace_abn,1203,174,6,138,36,175
172822195,Hongbo-Miao/hongbomiao.com,https://api.github.com/repos/Hongbo-Miao/hongbomiao.com,100,18,9,7786,17,174
329405026,deislabs/mystikos,https://api.github.com/repos/deislabs/mystikos,80,41,23,2088,87,173
98444695,cylondata/twister2,https://api.github.com/repos/cylondata/twister2,54,28,19,8780,60,171
218188149,kan-bayashi/ParallelWaveGAN,https://api.github.com/repos/kan-bayashi/ParallelWaveGAN,959,245,10,1118,16,171
215773948,dreamquark-ai/tabnet,https://api.github.com/repos/dreamquark-ai/tabnet,1594,326,19,170,16,171
180512165,tianzhi0549/FCOS,https://api.github.com/repos/tianzhi0549/FCOS,2866,572,64,292,188,170
