id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,last_activity
190982189,nilmtk/nilmtk-contrib,https://api.github.com/repos/nilmtk/nilmtk-contrib,65,39,119,17,27,8,2021-11-25T20:37:17Z
144551119,beringresearch/ivis,https://api.github.com/repos/beringresearch/ivis,255,27,611,3,50,8,2021-11-08T17:08:45Z
63896496,ijmarshall/robotreviewer,https://api.github.com/repos/ijmarshall/robotreviewer,90,46,629,8,23,8,2021-10-19T11:43:05Z
362533229,CLUEbenchmark/FewCLUE,https://api.github.com/repos/CLUEbenchmark/FewCLUE,251,36,297,3,4,8,2021-09-30T02:27:17Z
29800084,selective-inference/Python-software,https://api.github.com/repos/selective-inference/Python-software,47,29,2956,4,3,8,2021-07-06T18:13:13Z
223491631,aws-samples/aws-deepcomposer-samples,https://api.github.com/repos/aws-samples/aws-deepcomposer-samples,323,251,108,7,2,8,2021-06-04T17:34:17Z
198530422,multi-commander/Multi-Commander,https://api.github.com/repos/multi-commander/Multi-Commander,67,17,134,2,7,8,2021-05-13T07:27:26Z
129931530,IntelAI/unet,https://api.github.com/repos/IntelAI/unet,205,96,794,1,22,8,2021-05-04T13:04:02Z
114566317,automl/HpBandSter,https://api.github.com/repos/automl/HpBandSter,518,108,187,52,35,8,2021-01-31T10:05:37Z
112975045,TheCacophonyProject/classifier-pipeline,https://api.github.com/repos/TheCacophonyProject/classifier-pipeline,16,14,1422,16,11,7,2022-02-14T02:38:40Z
257801423,cap-ntu/ML-Model-CI,https://api.github.com/repos/cap-ntu/ML-Model-CI,156,27,843,26,91,7,2022-02-14T01:24:23Z
306702552,sisinflab/elliot,https://api.github.com/repos/sisinflab/elliot,159,28,624,3,7,7,2022-02-13T10:09:31Z
142691808,921kiyo/3d-dl,https://api.github.com/repos/921kiyo/3d-dl,37,14,827,2,1,7,2022-02-11T08:59:05Z
225423507,samsinai/FLEXS,https://api.github.com/repos/samsinai/FLEXS,82,10,502,1,6,7,2022-02-11T03:33:10Z
191442873,spoonsso/dannce,https://api.github.com/repos/spoonsso/dannce,102,18,421,5,66,7,2022-02-10T03:22:47Z
124822342,huseinzol05/malaya,https://api.github.com/repos/huseinzol05/malaya,296,102,576,4,82,7,2022-02-10T01:38:19Z
130369068,KDD-OpenSource/DeepADoTS,https://api.github.com/repos/KDD-OpenSource/DeepADoTS,418,93,135,8,69,7,2022-02-09T23:52:30Z
69671772,tomography/xlearn,https://api.github.com/repos/tomography/xlearn,34,34,133,3,6,7,2022-02-09T23:47:10Z
79966460,chicago-justice-project/article-tagging,https://api.github.com/repos/chicago-justice-project/article-tagging,41,23,347,12,37,7,2022-02-09T23:26:25Z
163487352,lsds/KungFu,https://api.github.com/repos/lsds/KungFu,254,45,383,3,40,7,2022-01-31T10:22:03Z
159568339,dreadl0ck/netcap,https://api.github.com/repos/dreadl0ck/netcap,1529,137,1637,1,15,7,2022-01-30T19:08:27Z
57920937,KordingLab/spykes,https://api.github.com/repos/KordingLab/spykes,88,33,299,10,47,7,2021-12-15T17:44:31Z
